Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
Taeyeon,Kim Taeyeon,김태연 ,SNSD,South Korea,female_idols/Taeyeon_KimTaeyeon.png
Sunny,Lee Sunkyu,이순규 ,SNSD,South Korea,female_idols/Sunny_LeeSunkyu.jpeg
Tiffany,Hwang Miyoung,황미영,SNSD,South Korea,female_idols/Tiffany_HwangMiyoung.jpeg
Hyoyeon,Kim Hyoyeon,김효연 ,SNSD,South Korea,female_idols/Hyoyeon_KimHyoyeon.jpeg
Yuri,Kwon Yuri,권유리 ,SNSD,South Korea,female_idols/Yuri_KwonYuri.jpeg
Sooyoung,Choi Sooyoung,최수영 ,SNSD,South Korea,female_idols/Sooyoung_ChoiSooyoung.png
Yoona,Im Yoona,임윤아 ,SNSD,South Korea,female_idols/Yoona_ImYoona.jpeg
Seohyun,Seo Joohyun,서주현 ,SNSD,South Korea,female_idols/Seohyun_SeoJoohyun.jpeg
Jessica,Jessica Jung,제시카 정,,South Korea,female_idols/Jessica_JessicaJung.jpeg
CL,Lee Chaerin,이채린,2NE1,South Korea,female_idols/CL_LeeChaerin.jpeg
Bom,Park Bom,박봄,2NE1,South Korea,female_idols/Bom_ParkBom.png
Dara,Park Sandara,박산다라,2NE1,South Korea,female_idols/Dara_ParkSandara.jpeg
Minzy,Kong Minji,공민지 ,2NE1,South Korea,female_idols/Minzy_KongMinji.jpeg
Hyorin,Kim Hyojung,김효정 ,SISTAR,South Korea,female_idols/Hyorin_KimHyojung.jpeg
Bora,Yoon Bora,윤보라 ,SISTAR,South Korea,female_idols/Bora_YoonBora.png
Soyou,Kang Jihyun,강지현 ,SISTAR,South Korea,female_idols/Soyou_KangJihyun.jpeg
Dasom,Kim Dasom,김다솜 ,SISTAR,South Korea,female_idols/Dasom_KimDasom.jpeg
Jihyun,Nam Jihyun,남지현 ,4minute,South Korea,female_idols/Jihyun_NamJihyun.jpeg
Gayoon,Heo Gayoon,허가윤,4minute,South Korea,female_idols/Gayoon_HeoGayoon.jpeg
Jiyoon,Jeon Jiyoon,전지윤,4minute,South Korea,female_idols/Jiyoon_JeonJiyoon.jpeg
HyunA,Kim Hyuna,김현아 ,4minute,South Korea,female_idols/HyunA_KimHyuna.jpeg
Sohyun,Kwon Sohyun,권소현,4minute,South Korea,female_idols/Sohyun_KwonSohyun.jpeg
Jimin,Shin Jimin,신지민 ,,South Korea,female_idols/Jimin_ShinJimin.jpeg
Choa,Park Choa,박초아 ,,South Korea,female_idols/Choa_ParkChoa.jpeg
Yuna,Seo Yuna,서유나 ,AoA,South Korea,female_idols/Yuna_SeoYuna.jpeg
Yookyung,Seo Yookyung,서유경 ,,South Korea,female_idols/Yookyung_SeoYookyung.webp
Hyejeong,Shin Hyejeong,신혜정 ,AoA,South Korea,female_idols/Hyejeong_ShinHyejeong.jpeg
Mina,Kwon Mina,권민아 ,,South Korea,female_idols/Mina_KwonMina.jpeg
Seolhyun,Kim Seolhyun,김설현 ,AoA,South Korea,female_idols/Seolhyun_KimSeolhyun.jpeg
Chanmi,Kim Chanmi,김찬미 ,AoA,South Korea,female_idols/Chanmi_KimChanmi.jpeg
Sojin,Park Sojin,박소진 ,Girl's Day,South Korea,female_idols/Sojin_ParkSojin.jpeg
Yura,Kim Ahyoung,김아영 ,Girl's Day,South Korea,female_idols/Yura_KimAhyoung.jpeg
