Stage_Name, Full_Name, Korean_Name, Group, Country
Taeyeon,Kim Taeyeon,김태연 ,SNSD,South Korea
Sunny,Lee Sunkyu,이순규 ,SNSD,South Korea
Tiffany,Hwang Miyoung,황미영,SNSD,South Korea
Hyoyeon,Kim Hyoyeon,김효연 ,SNSD,South Korea
Yuri,Kwon Yuri,권유리 ,SNSD,South Korea
Sooyoung,Choi Sooyoung,최수영 ,SNSD,South Korea
Yoona,Im Yoona,임윤아 ,SNSD,South Korea
Seohyun,Seo Joohyun,서주현 ,SNSD,South Korea
Jessica,Jessica Jung,제시카 정,,South Korea
CL,Lee Chaerin,이채린,2NE1,South Korea
Bom,Park Bom,박봄,2NE1,South Korea
Dara,Park Sandara,박산다라,2NE1,South Korea
Minzy,Kong Minji,공민지 ,2NE1,South Korea
Hyorin,Kim Hyojung,김효정 ,SISTAR,South Korea
Bora,Yoon Bora,윤보라 ,SISTAR,South Korea
Soyou,Kang Jihyun,강지현 ,SISTAR,South Korea
Dasom,Kim Dasom,김다솜 ,SISTAR,South Korea
Jihyun,Nam Jihyun,남지현 ,4minute,South Korea
Gayoon,Heo Gayoon,허가윤,4minute,South Korea
Jiyoon,Jeon Jiyoon,전지윤,4minute,South Korea
HyunA,Kim Hyuna,김현아 ,4minute,South Korea
Sohyun,Kwon Sohyun,권소현,4minute,South Korea
Jimin,Shin Jimin,신지민 ,,South Korea
Choa,Park Choa,박초아 ,,South Korea
Yuna,Seo Yuna,서유나 ,AoA,South Korea
Yookyung,Seo Yookyung,서유경 ,,South Korea
Hyejeong,Shin Hyejeong,신혜정 ,AoA,South Korea
Mina,Kwon Mina,권민아 ,,South Korea
Seolhyun,Kim Seolhyun,김설현 ,AoA,South Korea
Chanmi,Kim Chanmi,김찬미 ,AoA,South Korea
Sojin,Park Sojin,박소진 ,Girl's Day,South Korea
Yura,Kim Ahyoung,김아영 ,Girl's Day,South Korea
Minah,Bang Minah,방민아 ,Girl's Day,South Korea
Hyeri,Lee Hyeri,이혜리 ,Girl's Day,South Korea
Jea,Kim Hyojin,김효진,Brown Eyed Girls,South Korea
Miryo,Jo Mihye,조미혜,Brown Eyed Girls,South Korea
Narsha,Park Hyojin,박효진,Brown Eyed Girls,South Korea
Gain,Son Gain,손가인,Brown Eyed Girls,South Korea
Chorong,Park Chorong,박초롱,Apink,South Korea
Bomi,Yoon Bomi,윤보미,Apink,South Korea
Eunji,Jung Eunji,정은지 ,Apink,South Korea
Naeun,Son Naeun,손나은,,South Korea
Namjoo,Kim Namjoo,김남주,Apink,South Korea
Hayoung,Oh Hayoung,오하영 ,Apink,South Korea
Solji,Heo Solji,허솔지,EXID,South Korea
LE,Ahn Hyejin,안효진,EXID,South Korea
Hani,Ahn Hee-yeon,안희연,EXID,South Korea
Hyerin,Seo Hyerin,서혜린,EXID,South Korea
Junghwa,Park Junghwa,박정화,EXID,South Korea
Hyeyeon,Kang Hyeyeon,강혜연,BESTie,South Korea
Uji,Jang Yuji,정유지 ,,South Korea
Dahye,Song Dahye,송다혜 ,,South Korea
Haeryeong,Na Haeryeong,나해령,BESTie,South Korea
Yubin,Kim Yubin,김유빈 ,Wonder Girls,South Korea
Yenny,Park Yeeun,박예은,Wonder Girls,South Korea
Sunmi,Lee Sunmi,이선미,Wonder Girls,South Korea
Hyerim,Woo Hyerim,우혜림,Wonder Girls,South Korea
Fei,Wang FeiFei,왕페이페이 ,miss A,China
Jia,Meng Jia,멍지아 ,miss A,China
Min,Lee Minyoung,이민영,miss A,South Korea
Suzy,Bae Suji,배수지,miss A,South Korea
Jamie,Park Jimin,박지민,15&,South Korea
Yerin,Baek Yerin,백예린,15&,South Korea
Jihyo,Park Jisoo,박지수,Twice,South Korea
Nayeon,Im Nayeon,임나연,Twice,South Korea
Jeongyeon,Yoo Jeongyeon,유정연,Twice,South Korea
Momo,Hirai Momo,히라이 모모,Twice,Japan
Sana,Minatozaki Sana,미나토자키 사나,Twice,Japan
Mina,Myoui Mina,묘이 미나,Twice,Japan
Dahyun,Kim Dahyun,김다현,Twice,South Korea
Chaeyoung,Son Chaeyoung,손채영,Twice,South Korea
Tzuyu,Chou Tzuyu,저우쯔위,Twice,Taiwan
Seunghee,Oh Seunghee,오승희,CLC,South Korea
Yujin,Choi Yujin,최유진,Kep1er,South Korea
Seungyeon,Jang Seunyeon,장승연 ,CLC,South Korea
