Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
T.O.P,Choi Seunghyun,최승현,BIGBANG,South Korea,male_idols/T.O.P_ChoiSeunghyun.jpeg
Taeyang,Dong Youngbae,동영배,BIGBANG,South Korea,male_idols/Taeyang_DongYoungbae.jpeg
G-Dragon,Kwon Jiyong,권지용,BIGBANG,South Korea,male_idols/G-Dragon_KwonJiyong.jpeg
Daesung,Daesung,강대성,BIGBANG,South Korea,male_idols/Daesung_Daesung.jpeg
Seungri,Lee Seunghyun,이승현,,South Korea,male_idols/Seungri_LeeSeunghyun.png
Leeteuk,Park Jeongsu,박정수,Super Junior,South Korea,male_idols/Leeteuk_ParkJeongsu.jpeg
Heechul,Kim Heechul,김희철,Super Junior,South Korea,male_idols/Heechul_KimHeechul.png
Yesung,Kim Jongwoon,김종운,Super Junior,South Korea,male_idols/Yesung_KimJongwoon.jpeg
Kangin,Kim Youngwoon,김영운,,South Korea,male_idols/Kangin_KimYoungwoon.jpeg
Sungmin,Lee Sungmin,이성민,Super Junior,South Korea,male_idols/Sungmin_LeeSungmin.jpeg
Shindong,Shin Donghee,신동희,Super Junior,South Korea,male_idols/Shindong_ShinDonghee.jpeg
Eunhyuk,Lee Hyukjae,이혁재,Super Junior,South Korea,male_idols/Eunhyuk_LeeHyukjae.jpeg
Siwon,Choi Siwon,최시원,Super Junior,South Korea,male_idols/Siwon_ChoiSiwon.jpeg
Donghae,Lee Donghae,이동해,Super Junior,South Korea,male_idols/Donghae_LeeDonghae.jpeg
Ryeowook,Kim Ryeowook,김려욱,Super Junior,South Korea,male_idols/Ryeowook_KimRyeowook.jpeg
Kyuhyun,Cho Kyuhyun,조규현,Super Junior,South Korea,male_idols/Kyuhyun_ChoKyuhyun.jpeg
Han Geng,Han Geng,한경,,China,male_idols/HanGeng_HanGeng.jpeg
Kibum,Kim Kibum,김기범,,South Korea,male_idols/Kibum_KimKibum.png
Zhou Mi,Zhou Mi,조미,Super Junior-M,China,male_idols/ZhouMi_ZhouMi.jpeg
Henry,Henry Lau,헨리 라우,Super Junior-M,Canada,male_idols/Henry_HenryLau.jpeg
Onew,Lee Jinki,이진기,SHINee,South Korea,male_idols/Onew_LeeJinki.png
Jonghyun†,Kim Jonghyun,김종현,,South Korea,male_idols/Jonghyun†_KimJonghyun.jpeg
Key,Kim Kibum,김기범,SHINee,South Korea,male_idols/Key_KimKibum.png
Minho,Choi Minho,최민호,SHINee,South Korea,male_idols/Minho_ChoiMinho.png
Taemin,Lee Taemin,이태민,SHINee,South Korea,male_idols/Taemin_LeeTaemin.jpeg
Xiumin,Kim Minseok,김민석,EXO,South Korea,male_idols/Xiumin_KimMinseok.png
Suho,Kim Junmyeon,김준면,EXO,South Korea,male_idols/Suho_KimJunmyeon.png
Lay,Zhang Yixing,장이씽,EXO,China,male_idols/Lay_ZhangYixing.jpeg
Baekhyun,Byun Baekhyun,변백현,EXO,South Korea,male_idols/Baekhyun_ByunBaekhyun.jpeg
Chen,Kim Jongdae,김종대,EXO,South Korea,male_idols/Chen_KimJongdae.jpeg
Chanyeol,Park Chanyeol,박찬열,EXO,South Korea,male_idols/Chanyeol_ParkChanyeol.jpeg
D.O.,Do Kyungsoo,도경수,EXO,South Korea,male_idols/D.O._DoKyungsoo.jpeg
Kai,Kim Jongin,김종인,EXO,South Korea,male_idols/Kai_KimJongin.jpeg
Sehun,Oh Sehun,오세훈,EXO,South Korea,male_idols/Sehun_OhSehun.jpeg
Luhan,Lu Han,루한,,China,male_idols/Luhan_LuHan.png
Kris,Wu Yifan,오역범,,Canada,male_idols/Kris_WuYifan.jpeg
Tao,Hwang Zitao,황자도,,China,male_idols/Tao_HwangZitao.jpeg
Jinyoung,Jung Jinyoung,정진영,,South Korea,male_idols/Jinyoung_JungJinyoung.png
CNU,Shin Dongwoo,신동우,B1A4,South Korea,male_idols/CNU_ShinDongwoo.jpeg
Sandeul,Lee Junghwan,이정환,B1A4,South Korea,male_idols/Sandeul_LeeJunghwan.webp
Baro,Cha Sunwoo,차선우,,South Korea,male_idols/Baro_ChaSunwoo.png
Gongchan,Gong Chansik,공찬식,B1A4,South Korea,male_idols/Gongchan_GongChansik.jpeg
Yongguk,Bang Yongguk,방용국,B.A.P,South Korea,male_idols/Yongguk_BangYongguk.jpeg
Himchan,Kim Himchan,김힘찬,B.A.P,South Korea,male_idols/Himchan_KimHimchan.jpeg
Daehyun,Jung Daehyun,정대현,B.A.P,South Korea,male_idols/Daehyun_JungDaehyun.jpeg
Youngjae,Yoo Youngjae,유영재,B.A.P,South Korea,male_idols/Youngjae_YooYoungjae.jpeg
Jongup,Moon Jongup,문종업,B.A.P,South Korea,male_idols/Jongup_MoonJongup.jpeg
Zelo,Choi Junhong,최준홍,B.A.P,South Korea,male_idols/Zelo_ChoiJunhong.png
Zico,Woo Jiho,우지호,Block B,South Korea,male_idols/Zico_WooJiho.jpeg
Taeil,Lee Taeil,이태일,Block B,South Korea,male_idols/Taeil_LeeTaeil.png
B-Bomb,Lee Minhyuk,이민혁,Block B,South Korea,male_idols/B-Bomb_LeeMinhyuk.png
Jaehyo,Ahn Jaehyo,안재효,Block B,South Korea,male_idols/Jaehyo_AhnJaehyo.jpeg
U-Kwon,Kim Yukwon,김유권,Block B,South Korea,male_idols/U-Kwon_KimYukwon.jpeg
Park Kyung,Park Kyung,박경,Block B,South Korea,male_idols/ParkKyung_ParkKyung.jpeg
P.O,Pyo Jihoon,표지훈,Block B,South Korea,male_idols/P.O_PyoJihoon.jpeg
Doojoon,Yoon Doojoon,윤두준,Highlight,South Korea,male_idols/Doojoon_YoonDoojoon.jpeg
Junhyung,Yong Junyung,용준형,Highlight,South Korea,male_idols/Junhyung_YongJunyung.jpeg
Yoseob,Yang Yoseob,양요섭,Highlight,South Korea,male_idols/Yoseob_YangYoseob.jpeg
Gikwang,Lee Gikwang,이기광,Highlight,South Korea,male_idols/Gikwang_LeeGikwang.jpeg
Dongwoon,Son Dongwoon,손동운,Highlight,South Korea,male_idols/Dongwoon_SonDongwoon.png
Hyunseung,Jang Hyunseung,장현승,,South Korea,male_idols/Hyunseung_JangHyunseung.jpeg
Jin,Kim Seokjin,김석진,BTS,South Korea,male_idols/Jin_KimSeokjin.jpeg
Suga,Min Yoongi,민윤기,BTS,South Korea,male_idols/Suga_MinYoongi.png
J-Hope,Jung Hoseok,정호석,BTS,South Korea,male_idols/J-Hope_JungHoseok.jpeg
RM,Kim Namjoon,김남준,BTS,South Korea,male_idols/RM_KimNamjoon.jpeg
Jimin,Park Jimin,박지민,BTS,South Korea,male_idols/Jimin_ParkJimin.jpeg
V,Kim Taehyung,김태형,BTS,South Korea,male_idols/V_KimTaehyung.jpeg
Jungkook,Jeon Jungkook,전정국,BTS,South Korea,male_idols/Jungkook_JeonJungkook.jpeg
Sungkyu,Kim Sungkyu,김성규,Infinite,South Korea,male_idols/Sungkyu_KimSungkyu.jpeg
Dongwoo,Jang Dongwoo,장동우,Infinite,South Korea,male_idols/Dongwoo_JangDongwoo.jpeg
Woohyun,Nam Woohyun,남우현,Infinite,South Korea,male_idols/Woohyun_NamWoohyun.jpeg
Hoya,Lee Howon,이호원,,South Korea,male_idols/Hoya_LeeHowon.jpeg
Sungyeol,Lee Sungyeol,이성열,Infinite,South Korea,male_idols/Sungyeol_LeeSungyeol.jpeg
