Stage_Name,Full_Name,Korean_Name,Group,Country,File_Name
T.O.P,Choi Seunghyun,최승현,BIGBANG,South Korea,male_idolsV2/T.O.P_ChoiSeunghyun.jpeg
Taeyang,Dong Youngbae,동영배,BIGBANG,South Korea,male_idolsV2/Taeyang_DongYoungbae.jpeg
G-Dragon,Kwon Jiyong,권지용,BIGBANG,South Korea,male_idolsV2/G-Dragon_KwonJiyong.jpeg
Daesung,Daesung,강대성,BIGBANG,South Korea,male_idolsV2/Daesung_Daesung.jpeg
Seungri,Lee Seunghyun,이승현,,South Korea,male_idolsV2/Seungri_LeeSeunghyun.png
Leeteuk,Park Jeongsu,박정수,Super Junior,South Korea,male_idolsV2/Leeteuk_ParkJeongsu.jpeg
Heechul,Kim Heechul,김희철,Super Junior,South Korea,male_idolsV2/Heechul_KimHeechul.png
Yesung,Kim Jongwoon,김종운,Super Junior,South Korea,male_idolsV2/Yesung_KimJongwoon.jpeg
Kangin,Kim Youngwoon,김영운,,South Korea,male_idolsV2/Kangin_KimYoungwoon.jpeg
Sungmin,Lee Sungmin,이성민,Super Junior,South Korea,male_idolsV2/Sungmin_LeeSungmin.jpeg
Shindong,Shin Donghee,신동희,Super Junior,South Korea,male_idolsV2/Shindong_ShinDonghee.jpeg
Eunhyuk,Lee Hyukjae,이혁재,Super Junior,South Korea,male_idolsV2/Eunhyuk_LeeHyukjae.jpeg
Siwon,Choi Siwon,최시원,Super Junior,South Korea,male_idolsV2/Siwon_ChoiSiwon.jpeg
Donghae,Lee Donghae,이동해,Super Junior,South Korea,male_idolsV2/Donghae_LeeDonghae.jpeg
Ryeowook,Kim Ryeowook,김려욱,Super Junior,South Korea,male_idolsV2/Ryeowook_KimRyeowook.jpeg
Kyuhyun,Cho Kyuhyun,조규현,Super Junior,South Korea,male_idolsV2/Kyuhyun_ChoKyuhyun.jpeg
Han Geng,Han Geng,한경,,China,male_idolsV2/HanGeng_HanGeng.jpeg
Kibum,Kim Kibum,김기범,,South Korea,male_idolsV2/Kibum_KimKibum.png
Zhou Mi,Zhou Mi,조미,Super Junior-M,China,male_idolsV2/ZhouMi_ZhouMi.jpeg
Henry,Henry Lau,헨리 라우,Super Junior-M,Canada,male_idolsV2/Henry_HenryLau.jpeg
Onew,Lee Jinki,이진기,SHINee,South Korea,male_idolsV2/Onew_LeeJinki.png
Jonghyun†,Kim Jonghyun,김종현,,South Korea,male_idolsV2/Jonghyun†_KimJonghyun.jpeg
Key,Kim Kibum,김기범,SHINee,South Korea,male_idolsV2/Key_KimKibum.png
Minho,Choi Minho,최민호,SHINee,South Korea,male_idolsV2/Minho_ChoiMinho.png
Taemin,Lee Taemin,이태민,SHINee,South Korea,male_idolsV2/Taemin_LeeTaemin.jpeg
Xiumin,Kim Minseok,김민석,EXO,South Korea,male_idolsV2/Xiumin_KimMinseok.png
Suho,Kim Junmyeon,김준면,EXO,South Korea,male_idolsV2/Suho_KimJunmyeon.png
Lay,Zhang Yixing,장이씽,EXO,China,male_idolsV2/Lay_ZhangYixing.jpeg
Baekhyun,Byun Baekhyun,변백현,EXO,South Korea,male_idolsV2/Baekhyun_ByunBaekhyun.jpeg
Chen,Kim Jongdae,김종대,EXO,South Korea,male_idolsV2/Chen_KimJongdae.jpeg
Chanyeol,Park Chanyeol,박찬열,EXO,South Korea,male_idolsV2/Chanyeol_ParkChanyeol.jpeg
D.O.,Do Kyungsoo,도경수,EXO,South Korea,male_idolsV2/D.O._DoKyungsoo.jpeg
Kai,Kim Jongin,김종인,EXO,South Korea,male_idolsV2/Kai_KimJongin.jpeg
Sehun,Oh Sehun,오세훈,EXO,South Korea,male_idolsV2/Sehun_OhSehun.jpeg
Luhan,Lu Han,루한,,China,male_idolsV2/Luhan_LuHan.png
Kris,Wu Yifan,오역범,,Canada,male_idolsV2/Kris_WuYifan.jpeg
Tao,Hwang Zitao,황자도,,China,male_idolsV2/Tao_HwangZitao.jpeg
Jinyoung,Jung Jinyoung,정진영,,South Korea,male_idolsV2/Jinyoung_JungJinyoung.png
CNU,Shin Dongwoo,신동우,B1A4,South Korea,male_idolsV2/CNU_ShinDongwoo.jpeg
Sandeul,Lee Junghwan,이정환,B1A4,South Korea,male_idolsV2/Sandeul_LeeJunghwan.webp
Baro,Cha Sunwoo,차선우,,South Korea,male_idolsV2/Baro_ChaSunwoo.png
Gongchan,Gong Chansik,공찬식,B1A4,South Korea,male_idolsV2/Gongchan_GongChansik.jpeg
Yongguk,Bang Yongguk,방용국,B.A.P,South Korea,male_idolsV2/Yongguk_BangYongguk.jpeg
Himchan,Kim Himchan,김힘찬,B.A.P,South Korea,male_idolsV2/Himchan_KimHimchan.jpeg
Daehyun,Jung Daehyun,정대현,B.A.P,South Korea,male_idolsV2/Daehyun_JungDaehyun.jpeg
Youngjae,Yoo Youngjae,유영재,B.A.P,South Korea,male_idolsV2/Youngjae_YooYoungjae.jpeg
Jongup,Moon Jongup,문종업,B.A.P,South Korea,male_idolsV2/Jongup_MoonJongup.jpeg
Zelo,Choi Junhong,최준홍,B.A.P,South Korea,male_idolsV2/Zelo_ChoiJunhong.png
Zico,Woo Jiho,우지호,Block B,South Korea,male_idolsV2/Zico_WooJiho.jpeg
Taeil,Lee Taeil,이태일,Block B,South Korea,male_idolsV2/Taeil_LeeTaeil.png
B-Bomb,Lee Minhyuk,이민혁,Block B,South Korea,male_idolsV2/B-Bomb_LeeMinhyuk.png
Jaehyo,Ahn Jaehyo,안재효,Block B,South Korea,male_idolsV2/Jaehyo_AhnJaehyo.jpeg
U-Kwon,Kim Yukwon,김유권,Block B,South Korea,male_idolsV2/U-Kwon_KimYukwon.jpeg
Park Kyung,Park Kyung,박경,Block B,South Korea,male_idolsV2/ParkKyung_ParkKyung.jpeg
P.O,Pyo Jihoon,표지훈,Block B,South Korea,male_idolsV2/P.O_PyoJihoon.jpeg
Doojoon,Yoon Doojoon,윤두준,Highlight,South Korea,male_idolsV2/Doojoon_YoonDoojoon.jpeg
Junhyung,Yong Junyung,용준형,Highlight,South Korea,male_idolsV2/Junhyung_YongJunyung.jpeg
Yoseob,Yang Yoseob,양요섭,Highlight,South Korea,male_idolsV2/Yoseob_YangYoseob.jpeg
Gikwang,Lee Gikwang,이기광,Highlight,South Korea,male_idolsV2/Gikwang_LeeGikwang.jpeg
Dongwoon,Son Dongwoon,손동운,Highlight,South Korea,male_idolsV2/Dongwoon_SonDongwoon.png
Hyunseung,Jang Hyunseung,장현승,,South Korea,male_idolsV2/Hyunseung_JangHyunseung.jpeg
Jin,Kim Seokjin,김석진,BTS,South Korea,male_idolsV2/Jin_KimSeokjin.jpeg
Suga,Min Yoongi,민윤기,BTS,South Korea,male_idolsV2/Suga_MinYoongi.png
J-Hope,Jung Hoseok,정호석,BTS,South Korea,male_idolsV2/J-Hope_JungHoseok.jpeg
RM,Kim Namjoon,김남준,BTS,South Korea,male_idolsV2/RM_KimNamjoon.jpeg
Jimin,Park Jimin,박지민,BTS,South Korea,male_idolsV2/Jimin_ParkJimin.jpeg
V,Kim Taehyung,김태형,BTS,South Korea,male_idolsV2/V_KimTaehyung.jpeg
Jungkook,Jeon Jungkook,전정국,BTS,South Korea,male_idolsV2/Jungkook_JeonJungkook.jpeg
Sungkyu,Kim Sungkyu,김성규,Infinite,South Korea,male_idolsV2/Sungkyu_KimSungkyu.jpeg
Dongwoo,Jang Dongwoo,장동우,Infinite,South Korea,male_idolsV2/Dongwoo_JangDongwoo.jpeg
Woohyun,Nam Woohyun,남우현,Infinite,South Korea,male_idolsV2/Woohyun_NamWoohyun.jpeg
Hoya,Lee Howon,이호원,,South Korea,male_idolsV2/Hoya_LeeHowon.jpeg
Sungyeol,Lee Sungyeol,이성열,Infinite,South Korea,male_idolsV2/Sungyeol_LeeSungyeol.jpeg
L,Kim Myungsoo,김명수,Infinite,South Korea,male_idolsV2/L_KimMyungsoo.jpeg
Sungjong,Lee Sungjong,이성종,Infinite,South Korea,male_idolsV2/Sungjong_LeeSungjong.jpeg
N,Cha Hakyeon,차학연,VIXX,South Korea,male_idolsV2/N_ChaHakyeon.jpeg
Leo,Jung Taekwon,정택운,VIXX,South Korea,male_idolsV2/Leo_JungTaekwon.jpeg
Ken,Lee Jaehwan,이재환 ,VIXX,South Korea,male_idolsV2/Ken_LeeJaehwan.webp
Ravi,Kim Wonsik,김원식,VIXX,South Korea,male_idolsV2/Ravi_KimWonsik.png
Hongbin,Lee Hongbin,이홍빈,VIXX,South Korea,male_idolsV2/Hongbin_LeeHongbin.jpeg
Hyuk,Han Sanghyuk,한상혁 ,VIXX,South Korea,male_idolsV2/Hyuk_HanSanghyuk.png
Jun. K,Kim Minjun,김민준,2PM,South Korea,male_idolsV2/Jun.K_KimMinjun.jpeg
Nichkhun,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,2PM,Thailand,male_idolsV2/Nichkhun_NichkhunHorvejkul.jpeg
Taecyeon,Ok Taecyeon,옥택연,2PM,South Korea,male_idolsV2/Taecyeon_OkTaecyeon.png
Wooyoung,Jang Wooyoung,장우영,2PM,South Korea,male_idolsV2/Wooyoung_JangWooyoung.jpeg
Junho,Lee Junho,이준호,2PM,South Korea,male_idolsV2/Junho_LeeJunho.png
Chansung,Hwang Chansung,황찬성,2PM,South Korea,male_idolsV2/Chansung_HwangChansung.jpeg
Jeongkyun,Jeong Jeongkyun,정정균,WE:A,South Korea,male_idolsV2/Jeongkyun_JeongJeongkyun.webp
Ron,Cheon Byeonghwa,천병화,WE:A,South Korea,male_idolsV2/Ron_CheonByeonghwa.webp
Yoosung,Jeong Yoosung,정유성,,South Korea,male_idolsV2/Yoosung_JeongYoosung.jpeg
Z-UK,Jeong Jaewook,정재욱,WE:A,South Korea,male_idolsV2/Z-UK_JeongJaewook.webp
HighTop,Lim Hyeontae,임현태,Bigflo,South Korea,male_idolsV2/HighTop_LimHyeontae.jpeg
Kichun,Hwang Kichun,황기천,WE:A,South Korea,male_idolsV2/Kichun_HwangKichun.webp
Eunkwang,Seo Eunkwang,서은광,BtoB,South Korea,male_idolsV2/Eunkwang_SeoEunkwang.jpeg
Minhyuk,Lee Minhyuk,이민혁,BtoB,South Korea,male_idolsV2/Minhyuk_LeeMinhyuk.jpeg
Changsub,Lee Changsub,이창섭,BtoB,South Korea,male_idolsV2/Changsub_LeeChangsub.jpeg
Hyunsik,Lim Hyunsik,임현식 ,BtoB,South Korea,male_idolsV2/Hyunsik_LimHyunsik.jpeg
Peniel,Shin Donggeun,신동근,BtoB,South Korea,male_idolsV2/Peniel_ShinDonggeun.jpeg
Ilhoon,Jung Ilhoon,정일훈,BtoB,South Korea,male_idolsV2/Ilhoon_JungIlhoon.jpeg
Sungjae,Yook Sungjae,육성재,BtoB,South Korea,male_idolsV2/Sungjae_YookSungjae.jpeg
S.Coups,Choi Seungcheol,최승철,Seventeen,South Korea,male_idolsV2/S.Coups_ChoiSeungcheol.webp
Wonwoo,Jeon Wonwoo,전원우,Seventeen,South Korea,male_idolsV2/Wonwoo_JeonWonwoo.jpeg
Mingyu,Kim Mingyu,김민규,Seventeen,South Korea,male_idolsV2/Mingyu_KimMingyu.jpeg
Vernon,Choi Hansol,최한솔,Seventeen,USA,male_idolsV2/Vernon_ChoiHansol.jpeg
Woozi,Lee Jihoon,이지훈,Seventeen,South Korea,male_idolsV2/Woozi_LeeJihoon.jpeg
Jeonghan,Yoon Jeonghan,윤정한,Seventeen,South Korea,male_idolsV2/Jeonghan_YoonJeonghan.jpeg
Joshua,Hong Jisoo,홍지수,Seventeen,USA,male_idolsV2/Joshua_HongJisoo.jpeg
DK,Lee Seongmin,이석민,Seventeen,South Korea,male_idolsV2/DK_LeeSeongmin.png
Seungkwan,Boo Seungkwan,부승관,Seventeen,South Korea,male_idolsV2/Seungkwan_BooSeungkwan.png
Hoshi,Kwon Soonyoung,권순영,Seventeen,South Korea,male_idolsV2/Hoshi_KwonSoonyoung.jpeg
Jun,Weng Junhui,원쥔훼이,Seventeen,China,male_idolsV2/Jun_WengJunhui.jpeg
The8,Xu Minghao,쉬밍하오 ,Seventeen,China,male_idolsV2/The8_XuMinghao.png
Dino,Lee Chan,이찬,Seventeen,South Korea,male_idolsV2/Dino_LeeChan.jpeg
Kyungil,Song Kyungil,송경일,HISTORY,South Korea,male_idolsV2/Kyungil_SongKyungil.png
Dokyun,Na Dokyun,나도균,HISTORY,South Korea,male_idolsV2/Dokyun_NaDokyun.webp
Sihyoung,Kim Sihyoung,김시형,HISTORY,South Korea,male_idolsV2/Sihyoung_KimSihyoung.webp
Jaeho,Kim Jaeho,김재호,HISTORY,South Korea,male_idolsV2/Jaeho_KimJaeho.jpeg
Yijeong,Jang Yijeong,장이정,HISTORY,South Korea,male_idolsV2/Yijeong_JangYijeong.webp
Donghyun,Kim Donghyun,김동현,Boyfriend,South Korea,male_idolsV2/Donghyun_KimDonghyun.jpeg
Hyunseong,Shim Hyunseong,심현성,Boyfriend,South Korea,male_idolsV2/Hyunseong_ShimHyunseong.jpeg
Jeongmin,Lee Jeongmin,이정민,Boyfriend,South Korea,male_idolsV2/Jeongmin_LeeJeongmin.jpeg
Youngmin,Jo Youngmin,조영민,Boyfriend,South Korea,male_idolsV2/Youngmin_JoYoungmin.jpeg
Kwangmin,Jo Kwangmin,조광민,Boyfriend,South Korea,male_idolsV2/Kwangmin_JoKwangmin.jpeg
Minwoo,No Minwoo,노민우,Boyfriend,South Korea,male_idolsV2/Minwoo_NoMinwoo.png
Seyoung,Lee Seyoung,이세영,CROSS GENE,South Korea,male_idolsV2/Seyoung_LeeSeyoung.png
Casper,Chu Xiaoxiang,저효상,CROSS GENE,China,male_idolsV2/Casper_ChuXiaoxiang.webp
Shin,Shin Wonho,신원호,CROSS GENE,South Korea,male_idolsV2/Shin_ShinWonho.png
