Stage_Name, Full_Name, Korean_Name, Group, Country
T.O.P,Choi Seunghyun,최승현,BIGBANG,South Korea
Taeyang,Dong Youngbae,동영배,BIGBANG,South Korea
G-Dragon,Kwon Jiyong,권지용,BIGBANG,South Korea
Daesung,Daesung,강대성,BIGBANG,South Korea
Seungri,Lee Seunghyun,이승현,,South Korea
Leeteuk,Park Jeongsu,박정수,Super Junior,South Korea
Heechul,Kim Heechul,김희철,Super Junior,South Korea
Yesung,Kim Jongwoon,김종운,Super Junior,South Korea
Kangin,Kim Youngwoon,김영운,,South Korea
Sungmin,Lee Sungmin,이성민,Super Junior,South Korea
Shindong,Shin Donghee,신동희,Super Junior,South Korea
Eunhyuk,Lee Hyukjae,이혁재,Super Junior,South Korea
Siwon,Choi Siwon,최시원,Super Junior,South Korea
Donghae,Lee Donghae,이동해,Super Junior,South Korea
Ryeowook,Kim Ryeowook,김려욱,Super Junior,South Korea
Kyuhyun,Cho Kyuhyun,조규현,Super Junior,South Korea
Han Geng,Han Geng,한경,,China
Kibum,Kim Kibum,김기범,,South Korea
Zhou Mi,Zhou Mi,조미,Super Junior-M,China
Henry,Henry Lau,헨리 라우,Super Junior-M,Canada
Onew,Lee Jinki,이진기,SHINee,South Korea
Jonghyun†,Kim Jonghyun,김종현,,South Korea
Key,Kim Kibum,김기범,SHINee,South Korea
Minho,Choi Minho,최민호,SHINee,South Korea
Taemin,Lee Taemin,이태민,SHINee,South Korea
Xiumin,Kim Minseok,김민석,EXO,South Korea
Suho,Kim Junmyeon,김준면,EXO,South Korea
Lay,Zhang Yixing,장이씽,EXO,China
Baekhyun,Byun Baekhyun,변백현,EXO,South Korea
Chen,Kim Jongdae,김종대,EXO,South Korea
Chanyeol,Park Chanyeol,박찬열,EXO,South Korea
D.O.,Do Kyungsoo,도경수,EXO,South Korea
Kai,Kim Jongin,김종인,EXO,South Korea
Sehun,Oh Sehun,오세훈,EXO,South Korea
Luhan,Lu Han,루한,,China
Kris,Wu Yifan,오역범,,Canada
Tao,Hwang Zitao,황자도,,China
Jinyoung,Jung Jinyoung,정진영,,South Korea
CNU,Shin Dongwoo,신동우,B1A4,South Korea
Sandeul,Lee Junghwan,이정환,B1A4,South Korea
Baro,Cha Sunwoo,차선우,,South Korea
Gongchan,Gong Chansik,공찬식,B1A4,South Korea
Yongguk,Bang Yongguk,방용국,B.A.P,South Korea
Himchan,Kim Himchan,김힘찬,B.A.P,South Korea
Daehyun,Jung Daehyun,정대현,B.A.P,South Korea
Youngjae,Yoo Youngjae,유영재,B.A.P,South Korea
Jongup,Moon Jongup,문종업,B.A.P,South Korea
Zelo,Choi Junhong,최준홍,B.A.P,South Korea
Zico,Woo Jiho,우지호,Block B,South Korea
Taeil,Lee Taeil,이태일,Block B,South Korea
B-Bomb,Lee Minhyuk,이민혁,Block B,South Korea
Jaehyo,Ahn Jaehyo,안재효,Block B,South Korea
U-Kwon,Kim Yukwon,김유권,Block B,South Korea
Park Kyung,Park Kyung,박경,Block B,South Korea
P.O,Pyo Jihoon,표지훈,Block B,South Korea
Doojoon,Yoon Doojoon,윤두준,Highlight,South Korea
Junhyung,Yong Junyung,용준형,Highlight,South Korea
Yoseob,Yang Yoseob,양요섭,Highlight,South Korea
Gikwang,Lee Gikwang,이기광,Highlight,South Korea
Dongwoon,Son Dongwoon,손동운,Highlight,South Korea
Hyunseung,Jang Hyunseung,장현승,,South Korea
Jin,Kim Seokjin,김석진,BTS,South Korea
Suga,Min Yoongi,민윤기,BTS,South Korea
J-Hope,Jung Hoseok,정호석,BTS,South Korea
RM,Kim Namjoon,김남준,BTS,South Korea
Jimin,Park Jimin,박지민,BTS,South Korea
V,Kim Taehyung,김태형,BTS,South Korea
Jungkook,Jeon Jungkook,전정국,BTS,South Korea
Sungkyu,Kim Sungkyu,김성규,Infinite,South Korea
Dongwoo,Jang Dongwoo,장동우,Infinite,South Korea
Woohyun,Nam Woohyun,남우현,Infinite,South Korea
